Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,10.1,10.5,9.5,10.5,10.5,19
2000-01-05,10.0,10.4,9.8,10.25,10.25,16
2000-01-06,9.55,10.05,9.55,10.0,10.0,52
2000-01-07,10.0,10.0,9.65,9.7,9.7,30
2000-01-10,9.7,9.95,9.45,9.85,9.85,12
2000-01-11,9.85,9.85,9.8,9.8,9.8,12
2000-01-12,9.8,9.8,9.5,9.8,9.8,26
2000-01-13,10.45,10.45,9.85,10.35,10.35,73
2000-01-14,9.9,10.15,9.8,10.15,10.15,68
2000-01-15,9.9,10.0,9.75,10.0,10.0,70
2000-01-17,9.3,9.85,9.3,9.85,9.85,77
2000-01-18,9.8,9.95,9.8,9.85,9.85,35
2000-01-19,10.05,10.5,10.05,10.5,10.5,246
2000-01-20,10.9,10.9,9.9,10.35,10.35,249
2000-01-21,10.3,10.3,9.65,9.95,9.95,172
2000-01-24,9.8,10.3,9.8,10.1,10.1,92
2000-01-25,10.5,10.7,10.2,10.7,10.7,137
2000-01-26,11.0,11.4,10.4,11.4,11.4,221
2000-01-27,12.15,12.15,12.15,12.15,12.15,229
2000-01-28,13.0,13.0,11.6,11.8,11.8,479
2000-01-29,11.6,11.8,11.5,11.5,11.5,83
2000-01-31,11.5,12.0,11.5,12.0,12.0,55
2000-02-01,11.6,12.0,11.6,11.7,11.7,46
2000-02-09,11.7,12.5,11.7,11.95,11.95,184
2000-02-10,12.45,12.45,12.1,12.15,12.15,78
2000-02-11,13.0,13.0,12.65,13.0,13.0,281
2000-02-14,13.9,13.9,13.6,13.9,13.9,272
2000-02-15,14.2,14.85,12.95,13.45,13.45,432
2000-02-16,13.5,14.35,13.5,14.15,14.15,290
2000-02-17,14.15,14.9,13.8,14.4,14.4,234
2000-02-18,14.9,15.0,14.3,14.3,14.3,128
2000-02-19,13.8,14.3,13.8,14.0,14.0,68
2000-02-21,14.0,14.5,13.8,13.8,13.8,140
2000-02-22,13.5,13.5,12.85,13.35,13.35,104
2000-02-23,13.2,13.25,12.8,12.8,12.8,96
2000-02-24,11.95,13.65,11.95,13.0,13.0,121
2000-02-25,13.2,13.2,12.3,12.5,12.5,54
2000-02-29,12.0,13.2,11.9,12.75,12.75,33
2000-03-01,12.8,13.5,12.8,13.5,13.5,132
2000-03-02,13.3,13.45,12.95,13.45,13.45,50
2000-03-03,13.4,13.4,12.95,13.2,13.2,73
2000-03-04,13.25,13.4,13.2,13.3,13.3,26
2000-03-06,13.3,13.5,13.0,13.0,13.0,17
2000-03-07,12.1,13.1,12.1,13.0,13.0,156
2000-03-08,12.4,13.1,12.4,13.1,13.1,68
2000-03-09,12.5,13.25,12.5,13.25,13.25,51
2000-03-10,13.1,13.1,13.0,13.1,13.1,45
2000-03-13,12.85,12.85,12.2,12.4,12.4,102
2000-03-14,12.65,12.65,12.15,12.25,12.25,29
2000-03-15,12.35,12.35,12.25,12.3,12.3,42
2000-03-16,12.3,12.3,11.5,12.3,12.3,90
2000-03-17,12.5,12.5,11.5,12.2,12.2,27
2000-03-20,11.8,11.8,11.8,11.8,11.8,25
2000-03-21,12.5,12.6,12.5,12.55,12.55,13
2000-03-22,12.55,12.55,12.35,12.35,12.35,9
2000-03-23,12.0,12.75,12.0,12.5,12.5,149
2000-03-24,12.2,12.2,12.1,12.1,12.1,114
2000-03-27,12.1,12.1,11.5,12.0,12.0,110
2000-03-28,11.8,12.2,11.8,12.2,12.2,33
2000-03-29,12.4,12.4,12.3,12.4,12.4,13
2000-03-30,12.4,12.4,12.2,12.2,12.2,37
2000-03-31,12.3,12.3,12.2,12.2,12.2,4
2000-04-01,12.0,12.05,12.0,12.0,12.0,9
2000-04-05,12.8,12.8,12.3,12.8,12.8,136
2000-04-06,12.75,13.15,12.5,13.1,13.1,208
2000-04-07,13.1,13.1,12.7,12.8,12.8,76
2000-04-08,13.0,13.0,12.5,12.9,12.9,12
2000-04-10,12.5,12.9,12.5,12.85,12.85,43
2000-04-11,12.95,12.95,12.6,12.8,12.8,36
2000-04-12,12.8,13.65,12.5,13.65,13.65,286
2000-04-13,13.65,13.65,13.1,13.35,13.35,122
2000-04-14,13.35,13.8,13.25,13.35,13.35,284
2000-04-15,13.5,14.25,13.5,14.25,14.25,669
2000-04-17,15.0,15.2,14.5,15.2,15.2,851
2000-04-18,16.2,16.2,15.5,16.2,16.2,1011
2000-04-19,17.0,17.3,17.0,17.3,17.3,598
2000-04-20,18.5,18.5,16.2,17.0,17.0,996
2000-04-21,16.5,17.0,16.5,17.0,17.0,310
2000-04-24,17.2,18.0,16.5,16.5,16.5,299
2000-04-25,16.2,16.3,15.4,15.4,15.4,310
2000-04-26,15.0,16.0,14.35,14.35,14.35,128
2000-04-27,14.0,14.0,13.4,14.0,14.0,99
2000-04-28,13.6,14.0,13.4,14.0,14.0,42
2000-04-29,13.2,14.0,13.2,14.0,14.0,52
2000-05-02,13.2,13.9,13.2,13.8,13.8,41
2000-05-03,13.2,13.5,13.1,13.1,13.1,48
2000-05-04,12.4,13.9,12.4,12.6,12.6,69
2000-05-05,13.4,13.45,13.2,13.45,13.45,85
2000-05-06,14.2,14.35,12.8,14.35,14.35,120
2000-05-08,14.9,14.9,13.7,13.7,13.7,26
2000-05-09,13.7,14.3,13.7,14.2,14.2,24
2000-05-10,14.4,14.4,13.6,14.0,14.0,20
2000-05-11,13.6,14.0,13.3,14.0,14.0,12
2000-05-12,14.0,14.0,13.3,13.6,13.6,20
2000-05-15,12.7,13.6,12.7,13.1,13.1,26
2000-05-16,13.0,13.5,13.0,13.5,13.5,21
2000-05-17,13.8,13.95,13.55,13.6,13.6,101
2000-05-18,13.3,13.3,13.0,13.3,13.3,38
2000-05-19,13.0,13.05,13.0,13.05,13.05,8
2000-05-20,13.0,13.0,12.9,12.9,12.9,30
2000-05-22,13.0,13.55,12.75,13.45,13.45,29
2000-05-23,12.9,12.9,12.8,12.9,12.9,26
2000-05-24,12.8,12.9,12.55,12.9,12.9,1023
2000-05-25,12.9,13.1,12.9,12.9,12.9,47
2000-05-26,12.8,12.8,12.5,12.5,12.5,41
2000-05-29,12.9,13.0,12.75,12.8,12.8,19
2000-05-30,13.0,13.0,12.6,12.8,12.8,23
2000-05-31,13.2,13.65,13.15,13.65,13.65,117
2000-06-01,14.6,14.6,14.3,14.6,14.6,257
2000-06-02,15.5,15.6,15.0,15.5,15.5,288
2000-06-03,16.2,16.2,15.4,15.4,15.4,152
2000-06-05,15.4,15.4,15.1,15.1,15.1,122
2000-06-07,15.1,15.3,15.0,15.2,15.2,67
2000-06-08,15.3,15.4,14.6,15.0,15.0,71
2000-06-09,13.95,15.1,13.95,15.0,15.0,133
2000-06-12,14.1,14.8,14.1,14.7,14.7,121
2000-06-13,15.0,15.0,14.7,15.0,15.0,167
