,symbol,type,exchange,market,data
0,2303,EQUITY,TWSE,TSE,"{'date': '2010-12-31', 'open': 20.1, 'high': 20.4, 'low': 19.95, 'close': 20.05, 'volume': 9940940, 'turnover': 200699414, 'change': 0.05}"
1,2303,EQUITY,TWSE,TSE,"{'date': '2010-12-30', 'open': 20.5, 'high': 20.5, 'low': 19.8, 'close': 20, 'volume': 12883418, 'turnover': 258138782, 'change': -0.4}"
2,2303,EQUITY,TWSE,TSE,"{'date': '2010-12-29', 'open': 19.3, 'high': 20.5, 'low': 19.3, 'close': 20.4, 'volume': 18895400, 'turnover': 382678487, 'change': 1}"
3,2303,EQUITY,TWSE,TSE,"{'date': '2010-12-28', 'open': 19.55, 'high': 19.55, 'low': 19.15, 'close': 19.4, 'volume': 9921870, 'turnover': 192127258, 'change': 0}"
4,2303,EQUITY,TWSE,TSE,"{'date': '2010-12-27', 'open': 18.5, 'high': 19.65, 'low': 18.5, 'close': 19.4, 'volume': 10295341, 'turnover': 196039170, 'change': 1}"
5,2303,EQUITY,TWSE,TSE,"{'date': '2010-12-24', 'open': 18.4, 'high': 18.45, 'low': 18.2, 'close': 18.4, 'volume': 6285404, 'turnover': 115151862, 'change': -0.05}"
6,2303,EQUITY,TWSE,TSE,"{'date': '2010-12-23', 'open': 18.5, 'high': 18.6, 'low': 18.35, 'close': 18.45, 'volume': 3386809, 'turnover': 62620505, 'change': 0}"
7,2303,EQUITY,TWSE,TSE,"{'date': '2010-12-22', 'open': 18.1, 'high': 18.65, 'low': 18.1, 'close': 18.45, 'volume': 8526364, 'turnover': 157070639, 'change': 0.2}"
8,2303,EQUITY,TWSE,TSE,"{'date': '2010-12-21', 'open': 18.2, 'high': 18.25, 'low': 18, 'close': 18.25, 'volume': 3202440, 'turnover': 58069797, 'change': 0.05}"
9,2303,EQUITY,TWSE,TSE,"{'date': '2010-12-20', 'open': 18.3, 'high': 18.5, 'low': 18.05, 'close': 18.2, 'volume': 4830165, 'turnover': 88213208, 'change': -0.1}"
10,2303,EQUITY,TWSE,TSE,"{'date': '2010-12-17', 'open': 18.2, 'high': 18.4, 'low': 18.2, 'close': 18.3, 'volume': 5853594, 'turnover': 107309007, 'change': 0.15}"
11,2303,EQUITY,TWSE,TSE,"{'date': '2010-12-16', 'open': 17.8, 'high': 18.15, 'low': 17.75, 'close': 18.15, 'volume': 6999907, 'turnover': 126421002, 'change': 0.35}"
