Date,Open,High,Low,Close,Adj Close,Volume
2021-09-27,5.01,5.06,5.0,5.06,5.06,20213000.0
2021-09-28,5.05,5.06,4.95,4.97,4.97,13934000.0
2021-09-29,4.96,4.96,4.87,4.91,4.91,6421000.0
2021-09-30,4.93,4.95,4.9,4.93,4.93,2861000.0
2021-10-01,4.91,4.92,4.81,4.84,4.84,4099000.0
2021-10-04,4.85,4.88,4.78,4.79,4.79,3389000.0
2021-10-05,4.77,4.85,4.74,4.85,4.85,1775000.0
2021-10-06,4.86,4.87,4.82,4.83,4.83,1323000.0
2021-10-07,4.86,4.92,4.86,4.91,4.91,1366000.0
2021-10-08,4.93,4.96,4.91,4.92,4.92,1261000.0
2021-10-12,4.9,4.92,4.83,4.85,4.85,2416000.0
2021-10-13,4.9,4.9,4.82,4.83,4.83,1659000.0
2021-10-14,4.9,4.9,4.78,4.81,4.81,2130000.0
2021-10-15,4.85,4.87,4.83,4.87,4.87,1928000.0
2021-10-18,4.87,4.92,4.86,4.87,4.87,1072000.0
2021-10-19,4.89,4.94,4.88,4.94,4.94,2203000.0
2021-10-20,4.95,4.96,4.9,4.9,4.9,1814000.0
2021-10-21,4.9,4.94,4.87,4.88,4.88,1651000.0
2021-10-22,4.91,4.91,4.82,4.83,4.83,1871000.0
2021-10-25,4.83,4.86,4.81,4.86,4.86,595000.0
2021-10-26,4.86,4.91,4.86,4.9,4.9,2259000.0
2021-10-27,4.94,4.94,4.88,4.91,4.91,1581000.0
2021-10-28,4.91,5.05,4.91,5.04,5.04,3901000.0
2021-10-29,5.04,5.05,4.99,5.02,5.02,2021000.0
2021-11-01,5.02,5.1,5.02,5.09,5.09,2102000.0
2021-11-02,5.14,5.14,5.04,5.05,5.05,2267000.0
2021-11-03,5.1,5.11,5.06,5.1,5.1,1149000.0
2021-11-04,5.11,5.17,5.11,5.15,5.15,2269000.0
2021-11-05,5.15,5.26,5.15,5.25,5.25,2778000.0
2021-11-08,5.26,5.3,5.21,5.27,5.27,2170000.0
2021-11-09,5.3,5.32,5.27,5.29,5.29,2246000.0
2021-11-10,5.29,5.32,5.23,5.24,5.24,2058000.0
2021-11-11,5.22,5.25,5.19,5.21,5.21,1119000.0
2021-11-12,5.21,5.24,5.21,5.23,5.23,811000.0
2021-11-15,5.23,5.26,5.23,5.26,5.26,990000.0
2021-11-16,5.26,5.28,5.23,5.24,5.24,1297000.0
2021-11-17,5.24,5.28,5.22,5.27,5.27,776000.0
2021-11-18,5.27,5.39,5.27,5.35,5.35,2168000.0
2021-11-19,5.35,5.41,5.34,5.36,5.36,1608000.0
2021-11-22,5.4,5.43,5.39,5.39,5.39,1879000.0
2021-11-23,5.4,5.4,5.29,5.3,5.3,1821000.0
2021-11-24,5.3,5.34,5.29,5.32,5.32,888000.0
2021-11-25,5.35,5.37,5.31,5.33,5.33,756000.0
2021-11-26,5.33,5.33,5.21,5.21,5.21,2272000.0
2021-11-29,5.13,5.23,5.12,5.21,5.21,1766000.0
2021-11-30,5.25,5.27,5.23,5.23,5.23,947000.0
2021-12-01,5.22,5.24,5.18,5.24,5.24,1030000.0
2021-12-02,5.24,5.27,5.21,5.23,5.23,639000.0
2021-12-03,5.23,5.3,5.23,5.28,5.28,400000.0
2021-12-06,5.28,5.3,5.24,5.29,5.29,520000.0
2021-12-07,5.34,5.37,5.3,5.37,5.37,2448000.0
2021-12-08,5.38,5.42,5.38,5.39,5.39,1978000.0
2021-12-09,5.4,5.49,5.4,5.44,5.44,2449000.0
2021-12-10,5.44,5.45,5.4,5.42,5.42,1059000.0
2021-12-13,5.42,5.46,5.4,5.4,5.4,793000.0
2021-12-14,5.4,5.4,5.34,5.35,5.35,1648000.0
2021-12-15,5.35,5.4,5.33,5.39,5.39,955000.0
2021-12-16,5.4,5.48,5.4,5.45,5.45,1533000.0
2021-12-17,5.45,5.48,5.43,5.47,5.47,1297000.0
2021-12-20,5.47,5.47,5.4,5.43,5.43,843000.0
2021-12-21,5.43,5.43,5.38,5.42,5.42,614000.0
2021-12-22,5.42,5.44,5.4,5.42,5.42,393000.0
2021-12-23,5.45,5.48,5.44,5.46,5.46,525000.0
2021-12-24,5.46,5.5,5.46,5.47,5.47,553000.0
2021-12-27,5.47,5.53,5.47,5.53,5.53,1269000.0
2021-12-28,5.54,5.57,5.52,5.54,5.54,1441000.0
2021-12-29,5.56,5.56,5.52,5.55,5.55,1130000.0
2021-12-30,5.53,5.56,5.53,5.54,5.54,1112000.0
2022-01-03,5.55,5.57,5.51,5.53,5.53,898000.0
2022-01-04,5.53,5.61,5.53,5.61,5.61,901000.0
2022-01-05,5.61,5.63,5.58,5.58,5.58,916000.0
2022-01-06,5.58,5.58,5.51,5.52,5.52,1013000.0
2022-01-07,5.56,5.56,5.45,5.47,5.47,911000.0
2022-01-10,5.47,5.54,5.43,5.52,5.52,798000.0
2022-01-11,5.52,5.59,5.52,5.54,5.54,762000.0
2022-01-12,5.54,5.57,5.5,5.51,5.51,513000.0
2022-01-13,5.52,5.53,5.46,5.46,5.46,831000.0
2022-01-14,5.46,5.46,5.37,5.4,5.4,1926000.0
2022-01-17,5.4,5.43,5.38,5.43,5.43,625000.0
2022-01-18,5.43,5.48,5.43,5.45,5.45,359000.0
2022-01-19,5.45,5.46,5.43,5.44,5.44,390000.0
2022-01-20,5.44,5.52,5.44,5.49,5.49,583000.0
2022-01-21,5.46,5.46,5.34,5.35,5.35,1122000.0
2022-01-24,5.36,5.36,5.27,5.33,5.33,786000.0
2022-01-25,5.33,5.33,5.23,5.25,5.25,1146000.0
2022-01-26,5.25,5.28,5.24,5.26,5.26,1617000.0
2022-02-07,5.26,5.37,5.26,5.36,5.36,532000.0
2022-02-08,5.37,5.42,5.37,5.42,5.42,578000.0
2022-02-09,5.43,5.47,5.43,5.46,5.46,463000.0
2022-02-10,5.43,5.45,5.41,5.44,5.44,311000.0
2022-02-11,5.43,5.43,5.38,5.4,5.4,433000.0
2022-02-14,5.4,5.4,5.27,5.28,5.28,1178000.0
2022-02-15,5.3,5.3,5.25,5.26,5.26,735000.0
2022-02-16,5.3,5.33,5.3,5.32,5.32,492000.0
2022-02-17,5.33,5.38,5.33,5.35,5.35,495000.0
2022-02-18,5.36,5.36,5.3,5.33,5.33,352000.0
2022-02-21,5.33,5.37,5.29,5.37,5.37,627000.0
