Date,Open,High,Low,Close,Adj Close,Volume
2021-04-06,6.02,6.05,6.01,6.03,6.03,52000.0
2021-04-07,6.1,6.1,6.01,6.04,6.04,58000.0
2021-04-08,6.04,6.11,6.02,6.04,6.04,52000.0
2021-04-09,6.12,6.12,5.98,5.99,5.99,47000.0
2021-04-12,6.01,6.09,6.01,6.08,6.08,55000.0
2021-04-13,6.11,6.12,6.06,6.06,6.06,49000.0
2021-04-14,6.08,6.09,6.01,6.06,6.06,50000.0
2021-04-15,6.12,6.3,6.07,6.11,6.11,52000.0
2021-04-16,6.31,6.31,6.1,6.17,6.17,55000.0
2021-04-19,6.21,6.32,6.21,6.31,6.31,55000.0
2021-04-20,6.35,6.36,6.29,6.36,6.36,42000.0
2021-04-21,6.37,6.37,6.2,6.29,6.29,41000.0
2021-04-22,6.38,6.6,6.26,6.28,6.28,58000.0
2021-04-23,6.12,6.28,6.0,6.28,6.28,41000.0
2021-04-26,6.15,6.42,6.15,6.4,6.4,46000.0
2021-04-27,6.25,6.41,6.25,6.39,6.39,73000.0
2021-04-28,6.24,6.41,6.24,6.35,6.35,63000.0
2021-04-29,6.23,6.39,6.23,6.38,6.38,46000.0
2021-05-03,6.26,6.41,6.25,6.37,6.37,38000.0
2021-05-04,6.37,6.4,6.19,6.25,6.25,123000.0
2021-05-05,6.27,6.38,6.12,6.38,6.38,64000.0
2021-05-06,6.45,6.45,6.32,6.35,6.35,41000.0
2021-05-07,6.5,6.62,6.39,6.45,6.45,42000.0
2021-05-10,6.65,6.75,6.48,6.57,6.57,40000.0
2021-05-11,6.77,6.77,6.35,6.35,6.35,61000.0
2021-05-12,6.45,6.45,5.94,6.16,6.16,84000.0
2021-05-13,6.16,6.21,6.0,6.1,6.1,65000.0
2021-05-14,6.14,6.22,6.12,6.15,6.15,39000.0
2021-05-17,6.1,6.1,5.9,5.96,5.96,46000.0
2021-05-18,6.05,6.21,6.05,6.21,6.21,27000.0
2021-05-19,6.22,6.33,6.22,6.3,6.3,93000.0
2021-05-20,6.3,6.3,6.24,6.24,6.24,17000.0
2021-05-21,6.29,6.31,6.25,6.25,6.25,10000.0
2021-05-24,6.27,6.27,6.24,6.26,6.26,16000.0
2021-05-25,6.3,6.33,6.3,6.31,6.31,10000.0
2021-05-26,6.33,6.33,6.3,6.33,6.33,94000.0
2021-05-27,6.28,6.29,6.26,6.29,6.29,10000.0
2021-05-28,6.32,6.38,6.32,6.37,6.37,12000.0
2021-05-31,6.39,6.42,6.39,6.42,6.42,11000.0
2021-06-01,6.44,6.45,6.42,6.45,6.45,19000.0
2021-06-02,6.48,6.48,6.43,6.47,6.47,10000.0
2021-06-03,6.49,6.49,6.44,6.44,6.44,15000.0
2021-06-04,6.41,6.42,6.39,6.42,6.42,10000.0
2021-06-07,6.4,6.4,6.34,6.34,6.34,10000.0
2021-06-08,6.4,6.4,6.37,6.38,6.38,10000.0
2021-06-09,6.37,6.37,6.33,6.33,6.33,11000.0
2021-06-10,6.35,6.35,6.33,6.35,6.35,10000.0
2021-06-11,6.36,6.39,6.35,6.35,6.35,11000.0
2021-06-15,6.35,6.35,6.33,6.33,6.33,10000.0
2021-06-16,6.32,6.36,6.32,6.36,6.36,13000.0
2021-06-17,6.34,6.34,6.31,6.34,6.34,11000.0
2021-06-18,6.33,6.33,6.31,6.31,6.31,14000.0
2021-06-21,6.3,6.3,6.2,6.23,6.23,35000.0
2021-06-22,6.25,6.27,6.25,6.27,6.27,41000.0
2021-06-23,6.27,6.33,6.27,6.33,6.33,46000.0
2021-06-24,6.33,6.33,6.33,6.33,6.33,10000.0
2021-06-25,6.33,6.33,6.33,6.33,6.33,1000.0
2021-06-28,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-29,6.3,6.3,6.29,6.3,6.3,22000.0
2021-06-30,6.32,6.32,6.32,6.32,6.32,1000.0
2021-07-01,6.32,6.32,6.28,6.28,6.28,4000.0
2021-07-02,6.29,6.29,6.29,6.29,6.29,1000.0
2021-07-05,6.35,6.35,6.35,6.35,6.35,8000.0
2021-07-06,6.36,6.36,6.36,6.36,6.36,2000.0
2021-07-07,6.36,6.36,6.35,6.35,6.35,5000.0
