date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2004-05-06,8034,24,538,22.4,22.4,22.4,22.4,-1.6,24
2004-05-07,8034,9,191,20.9,20.9,20.9,20.9,-1.5,13
2004-05-10,8034,3,59,19.5,19.5,19.5,19.5,-1.4,4
2004-05-11,8034,1530,27870,18.2,18.5,18.2,18.2,-1.3,1031
2004-05-12,8034,592,10495,18.2,18.5,17.1,17.2,-1.0,327
2004-05-13,8034,357,5760,16.8,16.8,16.0,16.0,-1.2,257
2004-05-14,8034,616,9468,15.2,16.0,14.9,15.7,-0.3,314
2004-05-17,8034,244,3634,15.4,15.4,14.7,14.7,-1.0,153
2004-05-18,8034,91,1353,14.7,15.1,14.7,14.7,0.0,64
2004-05-19,8034,282,4341,14.95,15.7,14.95,15.1,0.4,129
2004-05-20,8034,146,2189,15.1,15.6,14.8,14.8,-0.3,73
2004-05-21,8034,232,3503,14.9,15.3,14.9,15.3,0.5,97
2004-05-24,8034,170,2612,15.4,15.6,15.1,15.1,-0.2,58
2004-05-25,8034,158,2469,15.3,16.1,15.2,16.1,1.0,78
2004-05-26,8034,223,3791,17.0,17.2,16.5,17.2,1.1,102
2004-05-27,8034,367,6505,17.8,18.0,17.5,17.7,0.5,186
2004-05-28,8034,193,3462,17.8,18.2,17.8,17.9,0.2,105
2004-05-31,8034,129,2228,16.7,17.8,16.7,17.2,-0.7,73
2004-06-01,8034,81,1377,17.0,17.2,16.8,17.2,0.0,44
2004-06-02,8034,153,2529,16.8,17.0,16.1,16.3,-0.9,64
2004-06-03,8034,38,626,16.3,16.7,16.2,16.2,-0.1,35
2004-06-04,8034,37,593,16.0,16.7,15.7,16.1,-0.1,32
2004-06-07,8034,43,695,16.3,16.3,16.0,16.2,0.1,34
2004-06-08,8034,25,404,16.4,16.4,16.0,16.0,-0.2,23
2004-06-09,8034,92,1482,16.0,16.3,16.0,16.1,0.1,43
2004-06-10,8034,58,934,16.1,16.3,16.1,16.1,0.0,53
2004-06-11,8034,9,143,16.1,16.2,15.8,15.8,-0.3,7
2004-06-14,8034,5,76,15.2,15.2,15.1,15.2,-0.6,5
2004-06-15,8034,41,605,14.7,14.8,14.6,14.8,-0.4,15
2004-06-16,8034,48,709,14.7,14.8,14.6,14.6,-0.2,29
2004-06-17,8034,42,601,14.3,14.5,14.15,14.5,-0.1,32
2004-06-18,8034,82,1211,14.3,15.3,14.2,15.2,0.7,49
2004-06-21,8034,12,177,15.2,15.2,14.7,14.7,-0.5,10
2004-06-23,8034,13,193,15.2,15.2,14.8,14.8,0.1,7
2004-06-24,8034,14,204,14.6,14.65,14.55,14.65,-0.15,12
2004-06-25,8034,13,189,14.55,14.6,14.5,14.5,-0.15,10
2004-06-28,8034,34,497,14.5,15.0,14.4,15.0,0.5,25
2004-06-29,8034,25,371,14.8,15.0,14.75,14.75,-0.25,14
2004-06-30,8034,14,200,14.6,14.8,14.1,14.6,-0.15,11
2004-07-01,8034,69,968,14.25,14.25,13.75,13.75,-0.85,40
2004-07-02,8034,50,652,13.15,13.15,12.9,13.1,-0.65,29
2004-07-05,8034,8,104,12.9,13.1,12.85,13.0,-0.1,8
2004-07-06,8034,15,195,13.0,13.0,12.9,13.0,0.0,8
2004-07-07,8034,24,305,12.85,12.9,12.2,12.9,-0.1,13
2004-07-08,8034,7,91,12.8,13.0,12.8,13.0,0.1,7
2004-07-09,8034,12,153,12.8,12.8,12.55,12.55,-0.45,7
2004-07-12,8034,35,451,12.8,13.4,12.15,12.7,0.15,27
2004-07-13,8034,13,161,12.7,12.7,12.2,12.2,-0.5,11
2004-07-14,8034,47,571,12.45,12.45,12.1,12.1,-0.1,34
2004-07-15,8034,27,321,12.1,12.1,11.8,11.8,-0.3,21
2004-07-16,8034,5,58,11.8,11.8,11.5,11.5,-0.3,3
2004-07-19,8034,11,125,11.5,11.5,11.2,11.2,-0.3,7
2004-07-20,8034,30,328,11.2,11.2,10.6,10.6,-0.6,14
2004-07-21,8034,61,656,10.6,10.8,10.6,10.8,0.2,33
2004-07-22,8034,35,379,10.8,10.9,10.75,10.8,0.0,22
2004-07-23,8034,46,497,10.8,10.8,10.7,10.8,0.0,21
2004-07-26,8034,30,317,10.7,10.7,10.4,10.4,-0.4,24
2004-07-27,8034,144,1442,10.1,10.2,9.85,10.1,-0.3,68
2004-07-28,8034,65,665,10.2,10.3,10.1,10.2,0.1,45
2004-07-29,8034,61,622,10.3,10.35,10.0,10.2,0.0,48
2004-07-30,8034,164,1684,10.2,10.45,10.2,10.25,0.05,127
2004-08-02,8034,174,1752,10.1,10.2,9.95,9.95,-0.3,134
2004-08-03,8034,32,299,9.4,9.4,9.3,9.3,-0.1,15
2004-08-04,8034,0,0,9.4,9.4,9.3,9.3,0.0,0
2004-08-05,8034,29,279,9.6,9.95,9.3,9.95,0.65,17
2004-08-06,8034,17,164,9.8,9.95,9.5,9.5,-0.45,12
2004-08-09,8034,13,120,9.2,9.25,9.2,9.25,-0.25,13
2004-08-10,8034,9,84,9.3,9.3,9.25,9.3,0.05,9
2004-08-11,8034,23,216,9.3,9.6,9.3,9.4,0.1,18
2004-08-12,8034,9,90,10.0,10.05,10.0,10.05,0.65,8
2004-08-13,8034,35,359,10.05,10.6,10.05,10.4,0.35,18
2004-08-16,8034,18,183,10.0,10.8,10.0,10.1,-0.3,12
2004-08-17,8034,22,224,10.0,10.35,10.0,10.1,0.0,9
2004-08-18,8034,25,255,10.1,10.3,10.1,10.3,0.2,14
2004-08-19,8034,8,83,10.3,10.55,10.3,10.3,0.0,4
2004-08-20,8034,19,196,10.3,10.6,10.2,10.6,0.3,7
2004-08-23,8034,22,224,10.6,10.6,10.0,10.0,-0.6,11
2004-08-26,8034,39,401,10.4,10.4,10.0,10.1,0.1,17
2004-08-27,8034,20,202,10.1,10.1,10.1,10.1,0.0,13
2004-08-30,8034,11,112,10.15,10.2,10.15,10.2,0.1,6
2004-08-31,8034,31,319,10.2,10.35,10.2,10.2,0.0,18
2004-09-01,8034,35,352,10.2,10.2,9.8,10.05,-0.15,19
2004-09-02,8034,1,10,10.1,10.1,10.1,10.1,0.05,1
2004-09-03,8034,74,751,10.2,10.3,10.0,10.3,0.2,28
2004-09-06,8034,26,262,10.3,10.3,10.0,10.05,-0.25,21
2004-09-07,8034,67,693,10.1,10.5,10.1,10.3,0.25,20
2004-09-08,8034,33,336,10.3,10.3,10.1,10.1,-0.2,14
2004-09-09,8034,13,131,10.1,10.15,10.1,10.15,0.05,5
2004-09-10,8034,168,1786,10.4,10.85,10.4,10.85,0.7,53
2004-09-13,8034,39,452,11.6,11.6,11.6,11.6,0.75,13
2004-09-14,8034,106,1314,12.4,12.4,12.4,12.4,0.8,22
2004-09-15,8034,263,3398,13.25,13.25,12.5,12.65,0.25,108
2004-09-16,8034,14,173,12.6,12.6,12.0,12.0,-0.65,11
2004-09-17,8034,61,718,12.5,12.5,11.5,11.5,-0.5,30
2004-09-20,8034,104,1160,11.95,11.95,10.8,10.85,-0.65,63
