Date,Open,High,Low,Close,Adj Close,Volume
2010-11-08,70.5,70.5,65.6,65.6,65.6,1212101
2010-12-20,61.0,64.9,59.0,63.1,63.1,4450000
2010-12-21,63.2,65.0,61.6,61.9,61.9,2075000
2010-12-22,61.9,61.9,59.0,60.0,60.0,1686141
2010-12-23,60.0,62.0,59.2,60.4,60.4,1112323
2010-12-24,60.6,62.0,60.1,60.1,60.1,739050
2010-12-27,60.1,60.7,59.3,59.4,59.4,547267
2010-12-28,60.0,62.3,59.5,60.7,60.7,1302640
2010-12-29,61.3,61.3,59.9,59.9,59.9,787790
2010-12-30,60.0,61.0,59.9,60.0,60.0,365100
2010-12-31,60.2,60.7,59.3,59.3,59.3,728419
2011-01-03,59.5,60.5,59.2,59.2,59.2,522000
2011-01-04,59.5,61.5,59.5,60.7,60.7,835008
2011-01-05,61.0,64.0,60.7,63.3,63.3,2194722
2011-01-06,63.0,67.5,62.7,66.0,66.0,3237838
2011-01-07,66.5,68.0,63.2,65.6,65.6,1764650
2011-01-10,66.4,66.4,64.0,64.7,64.7,754230
2011-01-11,62.5,64.6,62.5,64.6,64.6,1081330
2011-01-12,64.6,64.6,63.1,63.7,63.7,1001685
2011-01-13,63.8,63.9,62.4,62.7,62.7,980220
2011-01-14,63.0,64.7,63.0,64.7,64.7,1204359
2011-01-17,65.5,65.5,63.1,63.7,63.7,772257
2011-01-18,63.3,65.6,63.0,63.7,63.7,836111
2011-01-19,64.1,64.5,63.3,63.3,63.3,548100
2011-01-20,63.3,64.9,63.3,63.9,63.9,669300
2011-01-21,64.9,65.1,64.0,64.9,64.9,807270
2011-01-24,65.5,68.2,65.1,67.0,67.0,1740469
2011-01-25,67.2,70.0,66.2,69.6,69.6,1907462
2011-01-26,69.6,70.5,68.3,68.3,68.3,1538847
2011-01-27,68.2,70.5,67.5,70.5,70.5,2005749
2011-01-28,70.8,74.0,69.4,73.9,73.9,1978696
2011-02-08,73.5,73.5,71.1,71.2,71.2,861500
2011-02-09,71.2,72.9,68.2,68.7,68.7,1176050
2011-02-10,68.5,69.4,67.8,68.1,68.1,845481
2011-02-11,68.9,68.9,66.3,66.5,66.5,596275
2011-02-14,67.0,67.5,66.1,67.4,67.4,393300
2011-02-15,67.5,70.0,66.7,68.8,68.8,607732
2011-02-16,69.7,69.7,68.3,68.5,68.5,536100
2011-02-17,68.6,71.0,68.6,69.5,69.5,1268080
2011-02-18,70.5,70.5,69.4,70.0,70.0,445066
2011-02-21,71.5,72.2,70.9,72.0,72.0,938000
2011-02-22,71.2,72.2,69.6,70.0,70.0,871000
2011-02-23,69.6,70.5,68.0,68.1,68.1,532230
2011-02-24,67.8,68.6,66.5,66.6,66.6,775281
2011-02-25,67.0,67.6,66.1,67.5,67.5,416000
2011-03-01,68.4,68.4,67.2,67.2,67.2,256000
2011-03-02,67.8,67.8,65.2,65.3,65.3,682110
2011-03-03,65.4,67.0,65.4,66.5,66.5,461000
2011-03-04,66.5,67.0,64.3,65.2,65.2,541701
2011-03-07,65.2,66.4,64.7,66.3,66.3,440050
2011-03-08,66.5,70.9,66.5,70.9,70.9,1844043
2011-03-09,71.8,71.9,68.7,68.7,68.7,848320
2011-03-10,69.0,70.3,67.5,69.0,69.0,676366
2011-03-11,68.0,69.7,67.6,69.1,69.1,412312
2011-03-14,69.0,69.0,65.4,68.0,68.0,533100
2011-03-15,68.3,68.5,64.3,65.0,65.0,523200
2011-03-16,65.6,67.0,64.0,66.1,66.1,461000
2011-03-17,65.6,69.4,64.7,68.2,68.2,912100
2011-03-18,68.1,68.7,67.4,67.8,67.8,270007
2011-03-21,67.0,68.3,66.7,66.9,66.9,189024
2011-03-22,67.3,67.8,67.0,67.1,67.1,159000
2011-03-23,67.2,67.9,66.9,67.8,67.8,187003
2011-03-24,67.8,67.8,67.0,67.1,67.1,288300
2011-03-25,67.6,69.0,66.3,68.0,68.0,446323
2011-03-28,68.0,68.0,66.7,66.7,66.7,199759
2011-03-29,66.7,67.1,66.1,66.1,66.1,251100
2011-03-30,66.1,67.2,66.0,67.0,67.0,204100
2011-03-31,67.0,67.2,66.6,66.6,66.6,119001
2011-04-01,66.6,67.0,66.2,66.5,66.5,110250
2011-04-06,66.8,67.0,66.5,66.7,66.7,182220
2011-04-07,66.8,67.0,66.2,66.8,66.8,189478
2011-04-08,66.6,67.5,66.5,67.5,67.5,271004
2011-04-11,67.4,67.7,66.5,66.6,66.6,137100
2011-04-12,66.6,66.6,65.0,65.5,65.5,260012
2011-04-13,65.6,65.7,64.6,65.0,65.0,343050
2011-04-14,65.6,66.5,65.2,66.3,66.3,284001
2011-04-15,66.3,66.4,65.2,65.3,65.3,183500
2011-04-18,65.3,66.5,65.2,65.6,65.6,216000
2011-04-19,65.8,67.0,64.7,66.2,66.2,400000
2011-04-20,66.2,70.0,65.9,68.7,68.7,1167000
2011-04-21,73.3,73.3,70.2,70.9,70.9,2179449
2011-04-22,70.2,73.5,70.2,73.1,73.1,2325504
2011-04-25,75.0,78.2,74.0,77.5,77.5,3282510
2011-04-26,77.3,79.8,76.2,79.3,79.3,2826642
2011-04-27,79.0,79.2,77.5,78.0,78.0,1645250
2011-04-28,78.5,79.0,76.7,77.3,77.3,850168
2011-04-29,77.1,82.7,76.7,82.6,82.6,3647772
2011-05-03,82.2,86.0,79.6,84.6,84.6,2168550
2011-05-04,84.2,85.0,82.7,84.6,84.6,1390088
2011-05-05,83.6,84.6,81.3,82.0,82.0,1522210
2011-05-06,80.3,84.0,80.3,84.0,84.0,1220710
2011-05-09,84.9,84.9,82.4,82.4,82.4,613286
2011-05-10,82.9,83.6,82.4,82.4,82.4,669197
2011-05-11,83.4,87.5,83.0,85.9,85.9,1772012
2011-05-12,84.6,85.4,83.3,83.9,83.9,558436
2011-05-13,83.8,84.6,79.6,80.6,80.6,1178700
2011-05-16,80.6,81.0,78.0,78.1,78.1,902760
2011-05-17,78.1,80.3,77.0,79.8,79.8,532024
2011-05-18,80.0,81.8,79.6,80.5,80.5,466842
2011-05-19,81.9,86.1,81.5,85.0,85.0,2267110
2011-05-20,84.7,87.1,83.5,85.0,85.0,1133510
2011-05-23,83.2,86.0,83.2,84.5,84.5,481100
2011-05-24,84.3,84.3,80.0,81.7,81.7,657500
2011-05-25,80.0,82.3,80.0,81.0,81.0,192100
2011-05-26,80.7,81.7,80.7,81.1,81.1,213000
2011-05-27,81.5,81.6,78.5,80.4,80.4,631615
2011-05-30,79.0,80.7,78.7,80.7,80.7,491000
2011-05-31,79.9,81.4,79.8,81.0,81.0,309382
2011-06-01,81.0,81.5,80.2,81.3,81.3,589382
2011-06-02,80.1,81.0,79.5,79.5,79.5,417669
2011-06-03,80.0,80.0,77.0,78.5,78.5,670000
2011-06-07,77.5,78.1,75.1,76.0,76.0,626050
2011-06-08,76.0,78.5,75.4,77.5,77.5,506000
2011-06-09,77.5,79.4,77.5,77.9,77.9,719030
2011-06-10,79.2,79.2,76.7,76.7,76.7,369051
2011-06-13,76.1,76.5,75.2,75.3,75.3,233050
2011-06-14,76.0,76.0,75.0,75.5,75.5,275700
2011-06-15,75.5,76.0,74.7,75.5,75.5,357000
2011-06-16,75.0,75.0,71.0,71.9,71.9,571000
2011-06-17,72.0,73.2,71.8,72.2,72.2,363000
2011-06-20,72.5,73.8,70.6,71.2,71.2,276000
2011-06-21,71.8,72.5,70.5,70.9,70.9,207090
2011-06-22,72.0,75.5,71.9,74.0,74.0,460436
2011-06-23,72.1,75.0,72.1,74.2,74.2,414336
2011-06-24,74.2,75.5,73.4,75.3,75.3,273300
2011-06-27,74.3,78.0,73.3,77.3,77.3,543260
2011-06-28,78.3,80.1,77.5,78.9,78.9,1109525
2011-06-29,80.3,81.7,79.7,80.6,80.6,883109
2011-06-30,81.0,81.0,79.2,80.0,80.0,356003
2011-07-01,80.0,82.5,79.1,81.0,81.0,796622
2011-07-04,81.5,83.8,81.3,82.9,82.9,927662
2011-07-05,82.9,82.9,80.9,82.0,82.0,363109
2011-07-06,83.2,84.5,81.7,83.0,83.0,996118
2011-07-07,84.0,84.0,81.1,81.1,81.1,440301
2011-07-08,81.5,83.2,80.3,80.5,80.5,908000
2011-07-11,79.1,80.0,78.4,79.5,79.5,681200
2011-07-12,79.5,79.5,78.0,78.6,78.6,398000
2011-07-13,78.6,80.2,78.5,79.0,79.0,295200
2011-07-14,78.5,79.3,76.2,78.4,78.4,285978
2011-07-15,77.1,81.3,77.1,80.5,80.5,632100
2011-07-18,80.5,85.3,80.5,84.0,84.0,1454063
2011-07-19,84.0,84.0,82.1,82.8,82.8,569010
2011-07-20,83.0,83.5,81.2,82.1,82.1,650000
2011-07-21,81.9,83.4,81.0,82.1,82.1,589000
2011-07-22,82.0,82.0,80.4,80.8,80.8,600556
2011-07-25,80.8,81.0,79.1,79.7,79.7,493051
2011-07-26,79.7,80.4,78.5,80.2,80.2,497000
2011-07-27,80.0,80.5,79.3,79.3,79.3,566002
2011-07-28,79.0,79.5,77.5,77.9,77.9,581000
2011-07-29,77.8,79.8,77.8,78.9,78.9,501000
2011-08-01,79.4,82.2,78.2,80.8,80.8,1493615
2011-08-02,80.6,82.5,80.2,80.8,80.8,750000
2011-08-03,80.0,80.0,76.5,78.9,78.9,873000
2011-08-04,79.0,79.3,75.0,75.7,75.7,633380
2011-08-05,70.5,70.5,70.5,70.5,70.5,527950
2011-08-08,70.5,70.5,65.6,65.6,65.6,1212101
2011-08-09,61.1,62.6,61.1,61.8,61.8,1284111
2011-08-10,63.6,65.0,62.5,63.5,63.5,1594155
2011-08-11,59.3,63.5,59.2,63.0,63.0,1433053
2011-08-12,63.0,63.9,62.0,62.8,62.8,973000
2011-08-15,63.5,65.0,63.2,65.0,65.0,658010
2011-08-16,65.5,66.6,63.0,64.0,64.0,827000
2011-08-17,64.0,65.4,62.2,62.5,62.5,1129360
2011-08-18,62.0,62.1,59.0,59.2,59.2,961640
2011-08-19,55.1,55.1,55.1,55.1,55.1,290865
2011-08-22,51.3,51.3,51.3,51.3,51.3,344135
2011-08-23,52.1,53.5,47.9,51.3,51.3,2337031
2011-08-24,51.3,53.0,49.5,51.7,51.7,1457000
2011-08-25,52.0,52.7,49.9,50.4,50.4,727000
2011-08-26,50.0,50.9,48.9,50.1,50.1,514114
2011-08-29,50.6,51.7,50.3,51.4,51.4,300000
2011-08-30,52.0,54.8,51.5,54.2,54.2,920000
2011-08-31,54.4,54.7,53.3,54.0,54.0,504111
2011-09-01,54.3,55.8,54.0,54.2,54.2,667000
2011-09-02,54.0,54.2,53.3,53.7,53.7,183005
2011-09-05,52.7,52.7,51.5,51.7,51.7,202000
2011-09-06,50.5,51.0,49.9,50.2,50.2,374000
2011-09-07,50.9,51.2,50.0,51.1,51.1,269000
2011-09-08,52.0,52.0,50.3,51.1,51.1,309000
2011-09-09,50.5,51.3,50.2,51.1,51.1,427000
2011-09-13,50.2,50.5,49.2,49.3,49.3,322000
2011-09-14,49.5,50.5,47.5,48.0,48.0,335000
2011-09-15,48.6,49.5,48.05,48.3,48.3,266000
2011-09-16,49.0,49.6,49.0,49.6,49.6,314000
2011-09-19,50.0,50.0,49.1,49.15,49.15,162000
2011-09-20,49.0,50.0,49.0,49.8,49.8,146000
2011-09-21,50.0,53.2,49.8,53.2,53.2,752000
2011-09-22,52.5,55.5,51.6,54.9,54.9,1784020
2011-09-23,53.2,58.1,53.2,56.0,56.0,2089200
2011-09-26,56.0,57.4,52.1,52.1,52.1,918022
2011-09-27,53.0,55.6,52.6,54.9,54.9,1385000
2011-09-28,55.5,58.7,55.0,58.7,58.7,1572000
2011-09-29,58.9,60.1,57.7,58.2,58.2,4043000
2011-09-30,58.2,60.8,58.2,58.8,58.8,2264025
2011-10-03,57.7,58.1,56.1,56.9,56.9,518025
2011-10-04,55.5,58.3,55.5,57.8,57.8,787001
2011-10-05,57.8,58.0,56.3,56.5,56.5,407000
2011-10-06,57.0,58.5,56.5,56.6,56.6,585000
2011-10-07,57.6,58.2,56.5,56.6,56.6,454000
2011-10-11,57.5,59.0,56.9,58.0,58.0,666000
2011-10-12,57.5,58.0,57.1,57.3,57.3,247000
2011-10-13,57.4,61.0,57.4,59.0,59.0,1277436
2011-10-14,58.2,59.3,57.8,58.0,58.0,495316
2011-10-17,58.5,59.7,58.0,58.7,58.7,722684
2011-10-18,57.0,58.6,57.0,58.0,58.0,655029
2011-10-19,58.0,58.5,56.7,57.0,57.0,538210
2011-10-20,56.6,57.2,56.2,56.2,56.2,426299
2011-10-21,56.8,56.9,56.0,56.7,56.7,302300
2011-10-24,57.5,58.5,57.2,57.5,57.5,585020
2011-10-25,58.5,58.5,57.3,58.5,58.5,435162
2011-10-26,58.0,62.0,58.0,61.2,61.2,1474337
2011-10-27,61.5,63.8,60.3,62.5,62.5,2154115
2011-10-28,63.3,63.3,61.2,61.2,61.2,828020
2011-10-31,61.5,64.0,61.5,63.1,63.1,1514100
2011-11-01,63.1,64.3,61.6,62.9,62.9,855237
2011-11-02,61.3,62.7,61.3,62.0,62.0,498001
2011-11-03,62.0,62.9,60.3,60.4,60.4,713000
2011-11-04,61.2,62.0,60.5,60.8,60.8,521152
2011-11-07,60.8,62.5,60.8,61.9,61.9,505000
2011-11-08,62.5,64.2,62.3,63.1,63.1,1494827
2011-11-09,63.0,63.9,61.2,61.8,61.8,972345
2011-11-10,60.2,61.0,57.5,58.0,58.0,1446050
2011-11-11,58.5,59.9,56.2,59.9,59.9,946000
2011-11-14,60.8,62.1,60.6,60.8,60.8,1106581
2011-11-15,60.5,60.8,59.0,59.5,59.5,601300
2011-11-16,58.9,59.8,57.2,57.5,57.5,844282
2011-11-17,57.1,58.7,56.9,58.0,58.0,322116
2011-11-18,57.2,58.0,56.6,56.6,56.6,492200
2011-11-21,56.0,56.1,52.7,52.8,52.8,776118
2011-11-22,52.7,53.5,50.8,51.2,51.2,690210
2011-11-23,50.5,52.0,50.2,50.2,50.2,615024
2011-11-24,50.0,52.3,48.65,51.6,51.6,529051
2011-11-25,52.0,52.3,49.65,50.3,50.3,620000
2011-11-28,51.0,51.5,50.7,51.2,51.2,237000
2011-11-29,52.0,52.2,51.2,51.5,51.5,274000
2011-11-30,51.5,51.5,49.6,49.6,49.6,339097
2011-12-01,50.8,52.8,50.8,52.4,52.4,690000
2011-12-02,52.0,52.0,49.7,50.5,50.5,678000
2011-12-05,50.9,51.9,50.5,50.9,50.9,445000
2011-12-06,51.0,52.6,51.0,51.4,51.4,690761
2011-12-07,52.0,52.4,50.8,52.1,52.1,654400
2011-12-08,52.1,52.1,49.9,51.2,51.2,398462
2011-12-09,49.7,50.6,49.5,50.1,50.1,271000
2011-12-12,50.5,51.3,49.9,49.9,49.9,291500
2011-12-13,49.5,50.0,48.9,49.55,49.55,340050
2011-12-14,49.5,49.55,48.85,49.45,49.45,556115
2011-12-15,49.1,49.1,48.0,48.0,48.0,364229
2011-12-16,48.0,49.0,48.0,48.7,48.7,326000
2011-12-19,48.5,48.5,47.1,47.75,47.75,462000
2011-12-20,47.75,48.3,47.0,47.1,47.1,264000
2011-12-21,48.9,50.3,48.7,50.3,50.3,641000
2011-12-22,50.5,52.8,49.8,52.2,52.2,1053050
2011-12-23,52.5,54.0,52.3,53.5,53.5,1056050
2011-12-26,53.5,55.4,53.5,53.7,53.7,1198020
2011-12-27,53.7,53.8,51.6,53.3,53.3,818021
2011-12-28,53.3,54.4,52.6,52.6,52.6,761000
2011-12-29,52.6,52.6,51.4,51.6,51.6,644000
2011-12-30,52.0,52.5,51.6,51.8,51.8,586000
2012-01-02,52.0,52.3,50.0,50.4,50.4,497000
2012-01-03,50.6,51.8,50.6,51.5,51.5,513000
2012-01-04,51.9,52.4,51.3,51.3,51.3,605000
2012-01-05,51.8,51.8,50.3,50.7,50.7,625000
2012-01-06,50.7,51.9,50.7,51.0,51.0,636000
2012-01-09,51.0,51.0,50.0,50.1,50.1,410040
2012-01-10,50.3,51.0,50.3,50.3,50.3,358000
2012-01-11,50.5,52.8,50.5,52.0,52.0,1232000
2012-01-12,52.0,52.4,50.5,50.5,50.5,674000
2012-01-13,50.8,51.2,49.35,49.55,49.55,795000
2012-01-16,50.4,50.4,48.15,48.5,48.5,764130
2012-01-17,48.7,49.85,48.7,49.45,49.45,828005
2012-01-18,49.45,50.4,49.25,49.7,49.7,531001
2012-01-30,50.7,52.4,50.1,52.3,52.3,1617075
2012-01-31,53.4,55.3,52.3,53.8,53.8,2103075
2012-02-01,53.8,57.5,53.8,57.4,57.4,2272208
2012-02-02,57.4,58.9,54.2,57.0,57.0,2341358
2012-02-03,56.6,57.6,55.2,57.3,57.3,1804227
2012-02-04,58.9,58.9,56.0,56.2,56.2,1367227
2012-02-06,56.4,57.7,55.0,55.4,55.4,1401090
2012-02-07,55.2,56.7,54.7,55.6,55.6,1351265
2012-02-08,55.7,59.4,55.7,57.8,57.8,3754000
2012-02-09,57.8,58.6,57.0,57.5,57.5,1532000
2012-02-10,57.9,58.1,56.0,56.7,56.7,1280020
2012-02-13,55.2,59.3,54.8,58.4,58.4,2712016
2012-02-14,59.2,61.5,58.8,59.6,59.6,3821484
2012-02-15,61.0,61.6,59.8,60.6,60.6,2790751
2012-02-16,61.5,63.5,59.0,60.5,60.5,3736400
2012-02-17,61.1,61.6,58.4,59.4,59.4,1611671
2012-02-20,60.4,60.4,58.7,60.0,60.0,898324
2012-02-21,60.0,61.6,60.0,60.5,60.5,1406050
2012-02-22,60.9,61.4,59.7,59.8,59.8,942323
2012-02-23,60.0,60.7,58.4,58.5,58.5,1315400
2012-02-24,58.5,59.0,57.3,57.5,57.5,1221125
2012-02-29,58.0,59.2,58.0,58.1,58.1,736080
2012-03-01,58.2,58.9,57.9,58.2,58.2,545239
2012-03-02,58.5,60.5,58.3,60.0,60.0,1895926
2012-03-03,60.1,60.2,58.7,59.5,59.5,652286
2012-03-05,60.9,61.2,59.0,59.0,59.0,1147251
2012-03-06,59.1,59.5,55.3,56.4,56.4,1273045
2012-03-07,55.0,56.4,55.0,55.9,55.9,771140
2012-03-08,56.1,56.5,55.9,56.1,56.1,430025
2012-03-09,56.5,58.0,56.3,57.1,57.1,579075
2012-03-12,57.6,58.5,57.0,57.5,57.5,810000
2012-03-13,58.4,58.4,57.2,57.4,57.4,377200
2012-03-14,58.0,59.0,57.6,58.3,58.3,680190
2012-03-15,58.3,59.2,58.3,58.4,58.4,626000
2012-03-16,58.4,58.9,57.6,58.0,58.0,377233
2012-03-19,58.0,58.5,57.4,57.6,57.6,404000
2012-03-20,58.0,58.0,56.5,56.6,56.6,361000
2012-03-21,56.4,56.6,55.3,55.7,55.7,543300
2012-03-22,55.4,56.9,55.2,55.8,55.8,1030015
2012-03-23,55.8,55.8,54.6,55.5,55.5,961000
2012-03-26,55.5,56.0,54.6,54.9,54.9,863090
2012-03-27,54.9,54.9,51.1,51.6,51.6,2180020
2012-03-28,50.9,51.8,49.65,49.95,49.95,2145280
2012-03-29,49.9,51.5,49.1,50.9,50.9,1627000
2012-03-30,50.9,51.4,49.2,50.2,50.2,941500
2012-04-02,50.0,50.0,48.75,48.75,48.75,905200
2012-04-03,48.75,49.4,47.3,47.4,47.4,1000050
2012-04-05,46.1,48.45,45.25,48.1,48.1,826212
2012-04-06,51.4,51.4,50.4,51.4,51.4,1762000
2012-04-09,51.4,52.9,50.1,51.9,51.9,1664367
2012-04-10,52.0,52.8,51.6,52.6,52.6,1009006
2012-04-11,52.2,54.2,52.0,53.7,53.7,1145142
2012-04-12,54.1,54.1,52.7,52.8,52.8,584250
2012-04-13,53.5,53.5,52.4,53.0,53.0,522013
2012-04-16,52.7,52.9,51.9,51.9,51.9,261511
2012-04-17,52.0,52.5,50.0,50.1,50.1,538104
2012-04-18,50.5,51.0,49.2,50.6,50.6,459913
2012-04-19,50.9,50.9,49.9,50.4,50.4,291007
2012-04-20,50.0,51.9,50.0,50.9,50.9,460100
2012-04-23,50.9,52.6,50.9,52.2,52.2,789733
2012-04-24,52.0,53.1,51.6,52.5,52.5,708450
2012-04-25,53.0,53.6,52.8,53.2,53.2,640051
2012-04-26,53.5,53.8,52.2,52.2,52.2,518101
2012-04-27,52.3,53.0,51.5,51.9,51.9,334130
2012-04-30,51.5,52.5,51.5,52.4,52.4,244100
2012-05-02,52.4,54.3,52.4,54.3,54.3,893239
2012-05-03,54.3,54.7,53.6,54.1,54.1,475209
2012-05-04,54.0,54.5,53.9,54.5,54.5,518200
2012-05-07,54.3,54.3,53.3,53.7,53.7,361181
2012-05-08,53.6,53.8,53.2,53.5,53.5,243000
2012-05-09,52.7,53.3,52.5,52.7,52.7,316111
2012-05-10,52.5,53.2,52.0,52.2,52.2,318210
2012-05-11,52.0,52.2,50.7,50.9,50.9,341727
2012-05-14,50.8,50.9,50.0,50.2,50.2,271002
2012-05-15,49.1,50.0,48.6,50.0,50.0,302000
2012-05-16,49.95,50.0,49.05,49.2,49.2,159000
2012-05-17,49.1,50.1,49.1,50.1,50.1,199003
2012-05-18,49.1,49.25,48.0,48.0,48.0,404009
2012-05-21,48.0,48.8,48.0,48.0,48.0,229225
2012-05-22,48.3,48.8,48.3,48.6,48.6,225121
2012-05-23,48.5,48.5,47.1,47.65,47.65,254000
2012-05-24,47.85,49.0,47.55,47.95,47.95,235000
2012-05-25,48.05,48.55,47.7,47.7,47.7,160320
2012-05-28,47.8,48.5,47.5,48.4,48.4,100153
2012-05-29,48.5,50.0,48.5,49.8,49.8,431000
2012-05-30,49.8,49.85,49.0,49.2,49.2,209200
2012-05-31,48.65,49.45,48.3,49.25,49.25,257100
2012-06-01,49.0,49.5,48.15,48.4,48.4,273003
2012-06-04,47.1,47.35,45.05,45.05,45.05,600110
2012-06-05,45.7,46.4,45.15,45.5,45.5,886135
2012-06-06,46.0,46.0,45.15,45.3,45.3,486065
2012-06-07,46.7,46.85,45.65,45.95,45.95,548110
2012-06-08,45.05,45.95,45.05,45.8,45.8,384120
2012-06-11,46.8,46.95,46.3,46.7,46.7,494544
2012-06-12,45.8,46.3,45.8,46.2,46.2,143000
2012-06-13,46.3,46.8,45.9,46.1,46.1,327006
2012-06-14,46.1,46.2,45.85,46.05,46.05,127025
2012-06-15,46.4,46.4,46.05,46.3,46.3,499367
2012-06-18,47.1,48.45,46.7,47.8,47.8,1148003
2012-06-19,47.8,47.8,47.0,47.0,47.0,501002
2012-06-20,47.1,49.0,47.1,48.2,48.2,1452003
2012-06-21,48.7,49.7,48.25,48.7,48.7,1293056
2012-06-22,47.4,49.0,47.4,48.95,48.95,632008
2012-06-25,49.0,49.4,48.3,48.8,48.8,577019
2012-06-26,48.6,48.6,47.25,47.35,47.35,522983
2012-06-27,49.2,49.2,47.85,48.2,48.2,772051
2012-06-28,48.2,48.6,47.9,48.0,48.0,319026
2012-06-29,48.4,48.5,48.0,48.25,48.25,323189
2012-07-02,49.1,50.5,48.55,50.1,50.1,1931384
2012-07-03,50.3,50.4,49.8,50.0,50.0,736493
2012-07-04,50.4,50.7,49.8,49.85,49.85,740300
2012-07-05,50.0,50.3,49.2,49.4,49.4,509200
2012-07-06,49.5,49.6,48.5,48.8,48.8,454200
2012-07-09,48.8,49.0,48.3,48.35,48.35,259051
2012-07-10,48.5,48.95,48.15,48.5,48.5,392050
2012-07-11,48.2,48.55,48.1,48.5,48.5,366134
2012-07-12,49.0,49.0,47.5,47.7,47.7,588000
2012-07-13,47.7,48.55,47.55,48.0,48.0,481353
2012-07-16,48.5,48.6,47.0,47.1,47.1,621060
2012-07-17,46.6,47.9,46.6,47.9,47.9,349238
2012-07-18,47.9,48.2,47.6,47.65,47.65,597410
2012-07-19,46.75,47.3,46.75,47.05,47.05,689200
2012-07-20,47.0,47.75,47.0,47.1,47.1,432058
2012-07-23,47.1,47.5,46.85,47.2,47.2,305064
2012-07-24,47.2,47.2,46.05,46.6,46.6,404200
2012-07-25,46.6,47.1,46.5,46.55,46.55,352000
2012-07-26,47.0,47.15,46.55,46.7,46.7,202000
2012-07-27,47.4,47.4,46.95,47.3,47.3,341000
2012-07-30,47.5,47.6,46.9,46.9,46.9,403000
2012-07-31,46.9,47.1,46.6,46.95,46.95,212001
2012-08-01,46.8,47.7,46.7,47.4,47.4,432000
2012-08-03,47.5,48.15,47.25,47.75,47.75,383000
2012-08-06,48.4,49.3,47.8,48.85,48.85,958080
2012-08-07,48.85,49.2,48.2,48.4,48.4,468000
2012-08-08,48.5,48.95,48.35,48.8,48.8,402102
2012-08-09,49.2,49.2,48.55,48.8,48.8,326000
2012-08-10,49.0,49.35,48.6,48.65,48.65,406000
2012-08-13,48.85,49.0,48.1,48.2,48.2,313122
2012-08-14,48.5,48.5,48.0,48.1,48.1,320120
2012-08-15,48.1,48.7,48.1,48.2,48.2,276088
2012-08-16,48.3,48.9,48.3,48.85,48.85,419960
2012-08-17,49.3,49.85,49.1,49.2,49.2,655020
2012-08-20,49.0,49.1,48.35,48.65,48.65,298006
2012-08-21,48.65,48.9,48.55,48.55,48.55,301221
