date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2017-10-24,00636K,500,3327,6.63,6.66,6.63,6.66,0.06,3
2017-10-25,00636K,600,4000,6.65,6.67,6.65,6.67,0.01,2
2017-10-26,00636K,100,673,6.73,6.73,6.73,6.73,0.06,1
2017-10-27,00636K,500,3387,6.75,6.79,6.75,6.79,0.06,4
2017-10-30,00636K,100,682,6.82,6.82,6.82,6.82,0.03,1
2017-10-31,00636K,0,0,0.0,0.0,0.0,0.0,0.0,0
2017-11-01,00636K,700,4795,6.85,6.85,6.85,6.85,0.0,2
2017-11-02,00636K,0,0,0.0,0.0,0.0,0.0,0.0,0
2017-11-03,00636K,500,3415,6.83,6.83,6.83,6.83,0.0,1
2017-11-06,00636K,0,0,0.0,0.0,0.0,0.0,0.0,0
2017-11-07,00636K,0,0,0.0,0.0,0.0,0.0,0.0,0
2017-11-08,00636K,500,3465,6.93,6.93,6.93,6.93,0.0,1
2017-11-09,00636K,0,0,0.0,0.0,0.0,0.0,0.0,0
2017-11-10,00636K,0,0,0.0,0.0,0.0,0.0,0.0,0
2017-11-13,00636K,88600,622175,7.02,7.04,7.01,7.04,0.0,24
2017-11-14,00636K,63300,446378,7.09,7.09,7.01,7.01,-0.03,14
2017-11-15,00636K,118200,823190,6.97,6.97,6.95,6.95,-0.06,8
2017-11-16,00636K,144000,1005770,6.98,7.0,6.98,7.0,0.05,23
2017-11-17,00636K,90000,633700,7.06,7.06,7.04,7.04,0.04,6
2017-11-20,00636K,90000,634700,7.09,7.09,7.05,7.05,0.01,5
2017-11-21,00636K,86600,633097,7.15,7.33,7.15,7.33,0.28,6
2017-11-22,00636K,80100,595942,7.42,7.44,7.42,7.44,0.11,3
2017-11-23,00636K,80000,590400,7.38,7.38,7.38,7.38,-0.06,2
2017-11-24,00636K,115500,829767,7.26,7.26,7.17,7.21,-0.17,12
2017-11-27,00636K,100600,716186,7.16,7.16,7.11,7.11,-0.1,16
2017-11-28,00636K,48400,341590,7.1,7.1,7.05,7.05,-0.06,4
2017-11-29,00636K,100100,708705,7.12,7.14,7.05,7.07,0.02,12
2017-11-30,00636K,85600,605748,7.08,7.08,7.05,7.08,0.01,14
2017-12-01,00636K,120000,836400,6.97,6.97,6.97,6.97,-0.11,4
2017-12-04,00636K,120500,844660,6.92,7.01,6.92,7.01,0.04,5
2017-12-05,00636K,120000,852000,7.1,7.1,7.1,7.1,0.09,4
2017-12-06,00636K,120100,844304,7.03,7.04,7.03,7.04,-0.06,5
2017-12-07,00636K,130000,900000,6.96,6.96,6.92,6.92,-0.12,5
2017-12-08,00636K,120000,829200,6.91,6.91,6.91,6.91,-0.01,4
2017-12-11,00636K,120000,844800,7.04,7.04,7.04,7.04,0.13,5
2017-12-12,00636K,120000,846000,7.05,7.05,7.05,7.05,0.01,4
2017-12-13,00636K,120000,840000,7.0,7.0,7.0,7.0,-0.05,4
2017-12-14,00636K,125000,880100,7.06,7.06,7.04,7.04,0.04,6
2017-12-15,00636K,135000,938300,6.95,6.96,6.95,6.95,-0.09,8
2017-12-18,00636K,120100,834697,6.97,6.97,6.95,6.95,0.0,5
2017-12-19,00636K,120000,842400,7.02,7.02,7.02,7.02,0.07,4
2017-12-20,00636K,130200,924120,7.1,7.1,7.07,7.07,0.05,8
2017-12-21,00636K,120000,862800,7.19,7.19,7.19,7.19,0.12,4
2017-12-22,00636K,150000,1075800,7.18,7.18,7.17,7.17,-0.02,9
2017-12-25,00636K,120000,862800,7.19,7.19,7.19,7.19,0.02,4
2017-12-26,00636K,160100,1146316,7.16,7.16,7.16,7.16,-0.03,7
2017-12-27,00636K,190100,1360218,7.18,7.19,7.15,7.15,-0.01,9
2017-12-28,00636K,160500,1142735,7.07,7.12,7.07,7.12,-0.03,5
2017-12-29,00636K,180300,1290844,7.15,7.18,7.12,7.12,0.0,9
2018-01-02,00636K,160500,1170050,7.3,7.3,7.29,7.29,0.17,5
2018-01-03,00636K,150100,1107136,7.32,7.38,7.32,7.38,0.09,6
