,date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
0,2000-01-04,2330,35125000,6248459000,178.0,178.0,175.0,178.0,11.0,10232
1,2000-01-05,2330,70449937,12635715903,178.0,182.0,176.0,182.0,4.0,20298
2,2000-01-06,2330,34579454,6197016418,181.0,182.0,178.0,178.0,-4.0,10963
3,2000-01-07,2330,41182975,7102141796,172.0,175.0,170.0,173.0,-5.0,14454
4,2000-01-10,2330,48342563,8595889920,178.0,180.0,175.0,179.0,6.0,15336
5,2000-01-11,2330,48622260,8716358873,181.0,183.0,175.0,176.0,-3.0,13493
6,2000-01-12,2330,37852991,6782348965,177.0,181.0,176.0,181.0,5.0,11553
7,2000-01-13,2330,25817607,4625944862,181.0,181.0,178.0,178.0,-3.0,7905
8,2000-01-14,2330,50468880,9176538106,180.0,185.0,179.0,182.0,4.0,15290
9,2000-01-15,2330,47479351,8895778529,188.0,189.0,186.0,188.0,6.0,15313
10,2000-01-17,2330,27177000,5120726000,190.0,190.0,187.0,187.0,-1.0,8422
11,2000-01-18,2330,23044370,4258174220,187.0,187.0,183.0,184.0,-3.0,8446
12,2000-01-19,2330,23604632,4361593601,184.0,187.0,183.0,184.0,0.0,6565
13,2000-01-20,2330,22013379,4017797167,184.0,184.0,181.0,182.0,-2.0,6553
14,2000-01-21,2330,19849691,3667487736,182.0,186.0,182.0,186.0,4.0,5831
15,2000-01-24,2330,30652737,5801914452,188.0,191.0,187.0,188.0,2.0,9263
16,2000-01-25,2330,39156262,7519699912,193.0,193.0,190.0,193.0,5.0,12534
17,2000-01-26,2330,62645393,12848672209,199.0,206.0,199.0,206.0,13.0,17205
18,2000-01-27,2330,50400312,10470256643,208.0,211.0,204.0,208.0,2.0,14702
19,2000-01-28,2330,34642311,7029550607,201.0,204.0,201.0,204.0,-4.0,11111
20,2000-01-29,2330,25714366,5117190267,198.0,200.0,198.0,200.0,-4.0,10605
21,2000-01-31,2330,29418000,5875653000,198.0,204.0,197.0,203.0,3.0,8250
22,2000-02-01,2330,26796268,5431713193,205.0,205.0,201.0,202.0,-1.0,8149
23,2000-02-09,2330,44213000,9319805000,214.0,214.0,207.0,211.0,9.0,12320
24,2000-02-10,2330,31077647,6533171441,209.0,215.0,207.0,214.0,3.0,9795
25,2000-02-11,2330,37639626,8196292947,217.0,222.0,215.0,219.0,5.0,11655
26,2000-02-14,2330,24559084,5289888244,218.0,218.0,214.0,214.0,-5.0,8744
27,2000-02-15,2330,18398187,3939646599,214.0,217.0,212.0,215.0,1.0,6583
28,2000-02-16,2330,13890254,2966491450,215.0,216.0,213.0,213.0,-2.0,5549
29,2000-02-17,2330,20375321,4308298771,211.0,213.0,210.0,211.0,-2.0,6796
30,2000-02-18,2330,21321415,4484152456,212.0,214.0,207.0,208.0,-3.0,7995
31,2000-02-19,2330,15672224,3219488511,205.0,207.0,205.0,205.0,-3.0,7190
32,2000-02-21,2330,26940000,5367138000,203.0,203.0,195.0,195.0,-10.0,10989
33,2000-02-22,2330,29432755,5716966627,192.0,198.0,190.0,195.0,0.0,11485
34,2000-02-23,2330,12934559,2508331636,195.0,195.0,193.0,194.0,-1.0,5314
35,2000-02-24,2330,14593726,2847857923,195.0,197.0,194.0,195.0,1.0,5235
36,2000-02-25,2330,29021944,5740610131,195.0,200.0,195.0,199.0,4.0,8012
37,2000-02-29,2330,17285602,3485769196,200.0,203.0,200.0,201.0,2.0,5778
38,2000-03-01,2330,15842469,3249997668,205.0,206.0,204.0,206.0,5.0,5591
39,2000-03-02,2330,12033610,2460144604,207.0,208.0,203.0,203.0,-3.0,4223
40,2000-03-03,2330,10175279,2061385604,202.0,204.0,202.0,203.0,0.0,3232
41,2000-03-04,2330,11936388,2440197409,205.0,207.0,203.0,204.0,1.0,3830
42,2000-03-06,2330,12658000,2544310000,204.0,205.0,199.0,200.0,-4.0,3925
43,2000-03-07,2330,14657856,2912046344,198.0,201.0,197.0,199.0,-1.0,4758
44,2000-03-08,2330,11346273,2239250054,198.0,199.0,196.0,198.0,-1.0,4099
45,2000-03-09,2330,12585375,2508943338,198.0,200.0,198.0,200.0,2.0,3836
46,2000-03-10,2330,17500749,3457538051,201.0,202.0,194.0,195.0,-5.0,6160
47,2000-03-13,2330,40641919,7461491332,190.0,190.0,182.0,182.0,-13.0,14524
48,2000-03-14,2330,25465179,4695576447,182.0,187.0,180.0,186.0,4.0,9412
49,2000-03-15,2330,26992695,4992293645,185.0,188.0,182.0,183.0,-3.0,7192
50,2000-03-16,2330,40862260,7319467965,179.0,186.0,172.0,184.0,1.0,12867
51,2000-03-17,2330,46864550,8715173478,185.0,190.0,183.0,190.0,6.0,14509
52,2000-03-20,2330,3709227,682827010,184.0,184.0,184.0,184.0,-6.0,1559
53,2000-03-21,2330,78356954,14625654427,178.0,196.0,178.0,195.0,11.0,20333
54,2000-03-22,2330,43281868,8326099075,192.0,198.0,189.0,192.0,-3.0,14013
55,2000-03-23,2330,49041506,9742072613,194.0,203.0,193.0,201.0,9.0,17398
56,2000-03-24,2330,33181808,6607569941,201.0,201.0,196.0,198.0,-3.0,9253
57,2000-03-27,2330,45128798,9373634975,200.0,211.0,200.0,211.0,13.0,15029
58,2000-03-28,2330,31819728,6662754856,212.0,214.0,207.0,209.0,-2.0,11389
59,2000-03-29,2330,18498525,3806410066,208.0,208.0,204.0,204.0,-5.0,7428
60,2000-03-30,2330,39878129,8315917281,204.0,212.0,204.0,208.0,4.0,11072
61,2000-03-31,2330,22235618,4591729433,207.0,210.0,205.0,205.0,-3.0,6976
62,2000-04-01,2330,17769295,3694100894,206.0,210.0,205.0,210.0,5.0,6549
63,2000-04-05,2330,32134000,6624337000,201.0,210.0,201.0,208.0,-2.0,8939
64,2000-04-06,2330,25787975,5306007149,208.0,211.0,202.0,202.0,-6.0,8954
